species_tree,fam_species,order_species,sc,habitat,long_x,lat_y,b_nisc,g_nisc,p_nisc,nisc
Stactolaema_leucotis,Lybiidae,Piciformes,0,6,35.57044796,-16.84988189,0,0,0,0
Stactolaema_olivacea,Lybiidae,Piciformes,0,1,36.48848801,-10.40325524,0,0,0,0
Stactolaema_whytii,Lybiidae,Piciformes,0,3,32.46994274,-12.08191338,0,0,0,0
Starnoenas_cyanocephala,Columbidae,Columbiformes,1,6,-78.13890783,21.14274102,1,0,0,1
Steatornis_caripensis,Steatornithidae,Caprimulgiformes,0,1,-70.00122189,0.902729413,0,0,0,0
Steganopus_tricolor,Scolopacidae,Charadriiformes,0,6,-110.024272,49.59199417,0,0,0,0
Stellula_calliope,Trochilidae,Caprimulgiformes,1,6,-117.3419182,46.03293263,0,0,0,0
Stephanoaetus_coronatus,Accipitridae,Accipitriformes,0,6,23.96981235,-5.000899627,0,0,0,0
Stephanoxis_lalandi,Trochilidae,Caprimulgiformes,1,6,-50.75136473,-24.77914954,0,0,0,0
Stephanoxis_loddigesii,Trochilidae,Caprimulgiformes,1,6,-50.75136473,-24.77914954,0,0,0,0
Stercorarius_longicaudus,Stercorariidae,Charadriiformes,0,6,-5.907231643,70.00726183,0,0,0,0
Stercorarius_parasiticus,Stercorariidae,Charadriiformes,0,6,-13.9134026,68.93027698,0,0,0,0
Stercorarius_pomarinus,Stercorariidae,Charadriiformes,0,6,52.95333981,70.81702852,0,0,0,0
Sterna_acuticauda,Laridae,Charadriiformes,0,4,79.62122179,21.85101135,0,0,0,0
Sterna_albifrons,Laridae,Charadriiformes,0,6,66.45100211,40.5744919,0,0,0,0
Sterna_albostriata,Laridae,Charadriiformes,0,6,170.8335399,-44.23387232,0,0,0,0
Sterna_aleutica,Laridae,Charadriiformes,0,6,179.7976228,56.09814239,0,0,0,0
Sterna_anaethetus,Laridae,Charadriiformes,0,6,83.40485653,7.773583174,0,0,0,0
Sterna_antillarum,Laridae,Charadriiformes,0,6,-91.26806442,29.34624784,0,0,0,0
Sterna_aurantia,Laridae,Charadriiformes,0,6,85.96835441,22.86288847,0,0,0,0
Sterna_balaenarum,Laridae,Charadriiformes,0,6,15.51797148,-20.67717439,0,0,0,0
Sterna_bengalensis,Laridae,Charadriiformes,0,5,98.12400353,3.775596454,0,0,0,0
Sterna_bergii,Laridae,Charadriiformes,0,5,140.8392936,-9.573468008,0,0,0,0
Sterna_bernsteini,Laridae,Charadriiformes,0,5,120.3368847,27.20795811,0,0,0,0
Sterna_caspia,Laridae,Charadriiformes,0,6,82.16569244,5.3792425,0,0,0,0
Sterna_dougallii,Laridae,Charadriiformes,0,5,56.13901663,1.451942087,0,0,0,0
Sterna_elegans,Laridae,Charadriiformes,0,5,-116.3047924,31.85276525,0,0,0,0
Sterna_forsteri,Laridae,Charadriiformes,0,6,-104.3765525,46.07998815,0,0,0,0
Sterna_fuscata,Laridae,Charadriiformes,0,6,123.9531788,-9.202203183,0,0,0,0
Sterna_hirundinacea,Laridae,Charadriiformes,0,5,-66.29496546,-42.27343213,0,0,0,0
Sterna_hirundo,Laridae,Charadriiformes,0,6,61.15448425,53.46171412,0,0,0,0
Sterna_lorata,Laridae,Charadriiformes,0,5,-73.78792602,-17.46293286,0,0,0,0
Sterna_lunata,Laridae,Charadriiformes,0,6,-169.8540785,0.703132869,0,0,0,0
Sterna_maxima,Laridae,Charadriiformes,0,5,-49.1036214,4.556135391,0,0,0,0
Sterna_nereis,Laridae,Charadriiformes,0,5,159.6802416,-25.39896114,0,0,0,0
Sterna_nilotica,Laridae,Charadriiformes,0,6,51.70898161,27.10287157,0,0,0,0
Sterna_paradisaea,Laridae,Charadriiformes,0,6,-45.82058248,68.03296342,0,0,0,0
Sterna_repressa,Laridae,Charadriiformes,0,6,42.47786707,12.11937196,0,0,0,0
Sterna_sandvicensis,Laridae,Charadriiformes,0,5,-37.20086486,3.994036394,0,0,0,0
Sterna_saundersi,Laridae,Charadriiformes,0,5,62.2175002,10.78415952,0,0,0,0
Sterna_striata,Laridae,Charadriiformes,0,6,173.0622796,-40.8830891,0,0,0,0
Sterna_sumatrana,Laridae,Charadriiformes,0,5,124.0123694,3.276126022,0,0,0,0
Sterna_superciliaris,Laridae,Charadriiformes,0,6,-58.02953743,-9.972954404,0,0,0,0
Sterna_trudeaui,Laridae,Charadriiformes,0,6,-60.27161306,-34.22053287,0,0,0,0
Sterna_virgata,Laridae,Charadriiformes,0,5,67.4358491,-49.07994312,0,0,0,0
Sterna_vittata,Laridae,Charadriiformes,0,6,-39.06532929,-43.9416313,0,0,0,0
Sternoclyta_cyanopectus,Trochilidae,Caprimulgiformes,1,6,-69.58130739,9.761246982,0,0,0,0
Stictonetta_naevosa,Anatidae,Anseriformes,0,4,143.0979534,-34.28118069,0,0,0,0
Stigmatopelia_chinensis,Columbidae,Galliformes,0,6,100.1292233,21.02092344,0,0,0,0
Stigmatopelia_senegalensis,Columbidae,Galliformes,0,6,36.7396895,10.53062778,0,0,0,0
Stiltia_isabella,Glareolidae,Charadriiformes,0,6,137.4798298,-23.89089689,0,0,0,0
Streptopelia_bitorquata,Columbidae,Galliformes,0,6,119.2453004,3.839580817,0,0,0,0
Streptopelia_capicola,Columbidae,Galliformes,0,6,28.55241157,-13.32143107,0,0,0,0
Streptopelia_decaocto,Columbidae,Galliformes,0,6,56.39172294,41.20767762,0,0,0,0
Streptopelia_decipiens,Columbidae,Galliformes,0,6,20.03525206,4.035226833,0,0,0,0
Streptopelia_dusumieri,Columbidae,Galliformes,0,6,NA,NA,0,0,0,0
Streptopelia_hypopyrrha,Columbidae,Galliformes,0,6,10.79798478,8.2931771,0,0,0,0
Streptopelia_lugens,Columbidae,Galliformes,0,6,37.72496436,6.195434368,0,0,0,0
Streptopelia_orientalis,Columbidae,Galliformes,0,6,102.3316669,42.6449268,0,0,0,0
Streptopelia_reichenowi,Columbidae,Galliformes,0,1,42.39691464,4.000462033,0,0,0,0
Streptopelia_roseogrisea,Columbidae,Galliformes,0,6,15.70285042,15.77139704,0,0,0,0
Streptopelia_semitorquata,Columbidae,Galliformes,0,3,21.67888715,-4.314124595,0,0,0,0
Streptopelia_tranquebarica,Columbidae,Galliformes,0,1,98.27306636,26.76101783,0,0,0,0
Streptopelia_turtur,Columbidae,Galliformes,0,3,42.25620812,47.15688104,0,0,0,0
Streptopelia_vinacea,Columbidae,Galliformes,0,6,12.00826406,10.63561934,0,0,0,0
Streptopelia_xanthocycla,Columbidae,Galliformes,0,6,NA,NA,0,0,0,0
Streptoprocne_biscutata,Apodidae,Caprimulgiformes,0,1,-46.99327319,-22.42372064,0,0,0,0
Streptoprocne_phelpsi,Apodidae,Caprimulgiformes,0,3,-64.23926471,3.627045524,0,0,0,0
Streptoprocne_rutila,Apodidae,Caprimulgiformes,0,6,-85.13014271,7.098888566,0,0,0,0
Streptoprocne_semicollaris,Apodidae,Caprimulgiformes,0,6,-102.7333908,21.41676808,0,0,0,0
Streptoprocne_zonaris,Apodidae,Caprimulgiformes,0,3,-64.71041634,-7.923726432,0,0,0,0
Strigops_habroptila,Strigopidae,Psittaciformes,1,1,168.9714705,-45.62735461,0,1,0,1
Strix_albitarsis,Strigidae,Strigiformes,0,3,-73.65348585,-3.740471263,0,0,0,0
Strix_aluco,Strigidae,Strigiformes,0,6,53.33080499,45.26050784,0,0,0,0
Strix_butleri,Strigidae,Strigiformes,0,3,38.90144618,25.47248213,0,0,0,0
Strix_chacoensis,Strigidae,Strigiformes,0,3,-62.93228669,-27.17242614,0,0,0,0
Strix_fulvescens,Strigidae,Strigiformes,0,1,-89.36784229,15.1230487,0,0,0,0
Strix_hadorami,Strigidae,Strigiformes,0,2,NA,NA,0,0,0,0
Strix_huhula,Strigidae,Strigiformes,0,6,-60.13054004,-6.155221588,0,0,0,0
Strix_hylophila,Strigidae,Strigiformes,0,6,-50.95487127,-25.85929105,0,0,0,0
Strix_leptogrammica,Strigidae,Strigiformes,0,3,101.8836658,18.0591031,0,0,0,0
Strix_mauritanica,Strigidae,Strigiformes,0,3,53.33080499,45.26050784,0,0,0,0
Strix_nebulosa,Strigidae,Strigiformes,0,3,38.79625316,60.18288837,0,0,0,0
Strix_nigrolineata,Strigidae,Strigiformes,0,6,-83.00036295,11.83288377,0,0,0,0
Strix_nivicolum,Strigidae,Strigiformes,0,1,NA,NA,0,0,0,0
Strix_occidentalis,Strigidae,Strigiformes,0,1,-112.4687163,35.37187464,0,0,0,0
Strix_ocellata,Strigidae,Strigiformes,0,6,78.57359213,21.22741834,0,0,0,0
Strix_rufipes,Strigidae,Strigiformes,0,6,-71.87435002,-44.83828574,0,0,0,0
Strix_sartorii,Strigidae,Strigiformes,0,1,NA,NA,0,0,0,0
Strix_seloputo,Strigidae,Strigiformes,0,6,102.6316978,8.299576349,0,0,0,0
Strix_uralensis,Strigidae,Strigiformes,0,6,89.73656614,58.48092646,0,0,0,0
Strix_varia,Strigidae,Strigiformes,0,6,-94.13932556,45.23295888,0,0,0,0
Strix_virgata,Strigidae,Strigiformes,0,6,-64.80166434,-2.563163868,0,0,0,0
Strix_woodfordii,Strigidae,Strigiformes,0,6,22.96851232,-5.206483869,0,0,0,0
Struthio_camelus,Struthionidae,Struthioniformes,0,3,22.21625661,3.280457328,0,0,0,0
Struthio_molybdophanes,Struthionidae,Struthioniformes,0,3,22.21625661,3.280457328,0,0,0,0
Sula_dactylatra,Sulidae,Suliformes,0,5,-33.98030127,-7.543233491,0,0,0,0
Sula_granti,Sulidae,Suliformes,0,5,-90.02529227,8.060937041,0,0,0,0
Sula_leucogaster,Sulidae,Suliformes,0,5,-165.7501305,-1.269911412,0,0,0,0
Sula_nebouxii,Sulidae,Suliformes,0,5,-98.31067846,12.43026533,0,0,0,0
Sula_sula,Sulidae,Suliformes,0,5,-166.1088304,-10.6899059,0,0,0,0
Sula_variegata,Sulidae,Suliformes,0,5,-75.08254945,-17.35625259,0,0,0,0
