Wavelength[nm];Acvu1;Acvu2;Acvu3;Agag1;Agag2;Agag3;Alsc_db1 ;Alsc_db2 ;Alsc_db3 ;Alsc_dg1;Alsc_dg2;Alsc_dg3;Alsc_lb1;Alsc_lb2;Alsc_lb3;Amgu_p1 ;Amgu_p2 ;Amgu_p3 ;Amgu1 ;Amgu2 ;Amgu3 ;Cisa1;Cisa2;Cisa3;Cobe_db1 ;Cobe_db2 ;Cobe_db3 ;Cobe_lb1 ;Cobe_lb2 ;Cobe_lb3 ;Cypa_b1;Cypa_b2;Cypa_b3;Nesp_b1;Nesp_b2;Nesp_b3;Nesp_db1;Nesp_db2;Nesp_db3;Poma_b1;Poma_b2;Poma_b3;Poma_p1;Poma_p2;Poma_p3;Psch1;Psch2;Psch3;Psoo1;Psoo2;Psoo3;Psro_b1 ;Psro_b2 ;Psro_b3 ;Pymo1 ;Pymo2 ;Pymo3 ;Tasy1;Tasy2;Tasy3
311,933;37,17450718;35,67608286;41,57656786;25,72218362;17,53129039;22,35671613;14,65413336;11,92202907;19,83511914;10,44057573;5,857726742;11,79504977;6,664884239;25,75796317;22,5095253;23,50303627;18,42077414;17,2008867;20,05319536;19,30892436;26,14973329;13,73605215;16,83548332;11,88315602;5,515331706;5,170528128;6,273172904;16,31577775;23,81809304;14,7042411;29,5187232;16,65747729;15,55074903;4,481173884;4,189297009;4,508232628;3,98492067;3,501189584;3,665078456;10,76308525;9,301894716;3,871174478;8,009042816;7,452349429;7,358528666;3,634290618;4,148167206;3,671087952;10,64405701;5,881444032;9,328965835;9,203558905;8,070381061;11,38273087;10,23705646;13,08042705;9,038188581;10,52872426;17,67593658;19,56648419
312,528;37,72212133;36,203585;42,09674304;25,82806558;17,52673008;22,56545106;14,78453411;11,90221025;19,87603141;10,5272407;5,862925438;11,81053924;6,632981952;25,67387159;22,34122795;24,14578175;18,89200729;17,6341463;20,61587094;19,81830539;26,77580113;13,88316073;17,06473148;12,05761503;5,586701588;5,283496903;6,259034737;16,69310633;24,22858082;14,86245108;29,79874326;17,00864944;15,85526531;4,500895813;4,211749359;4,511833198;3,955042815;3,520782034;3,653592539;10,96826212;9,335139628;3,96172459;8,070890107;7,525725597;7,380166105;3,607143977;4,129293385;3,674454231;10,9093711;6,043409777;9,652513167;9,428593377;8,316674278;11,63864905;10,28938229;13,19410948;9,042422878;10,55013232;17,85157896;19,71379143
313,124;38,39598996;36,90812183;42,66973273;26,00232551;17,63001181;22,61233762;14,78912925;11,9590457;20,08375305;10,56266939;5,875589956;11,81477426;6,644852712;25,63994691;22,27894013;24,53923894;19,13907252;17,81789908;20,98904225;20,04219388;27,25939496;14,0544326;17,13823039;12,12627232;5,61113069;5,267391639;6,287661287;16,96132688;24,45429478;15,08773366;29,96362729;17,11606236;15,98286004;4,468444427;4,207256673;4,540102446;3,934246924;3,53741829;3,620029443;11,06069559;9,410548009;3,995221214;8,247736194;7,624378459;7,504051334;3,607476968;4,157624659;3,664943066;11,16891254;6,280603948;9,869915274;9,491765433;8,478178846;11,83506973;10,31755456;13,26842812;9,036578056;10,6816126;18,01327505;20,0780919
313,72;39,22915079;37,72975427;43,61608104;26,0198655;17,70884221;22,71001695;14,77032877;11,99605397;20,11569006;10,63985369;5,886978968;11,79203063;6,682000819;25,63749219;22,31788184;24,89692731;19,57074342;18,09307189;21,40424264;20,32500036;27,66525839;14,22883155;17,19112237;12,25448181;5,639454605;5,3904659;6,363508007;17,40902174;24,75804782;15,19093153;30,20289944;17,26978546;16,21128737;4,513522498;4,210672026;4,562310274;3,934824513;3,520737014;3,608090745;11,12048851;9,517712364;4,087216856;8,290830657;7,668488027;7,607307767;3,630746343;4,116102656;3,651251815;11,33623039;6,464554256;10,23019899;9,83361363;8,662384788;12,1765865;10,40046912;13,4936807;9,155047322;10,78311981;18,20300947;20,18386549
314,315;39,8930778;38,47422935;44,17972542;26,16518851;17,88128022;22,86930666;14,93030883;12,06273115;20,19822901;10,63033015;5,87374568;11,87695358;6,716778341;25,68457102;22,2876548;25,46283402;19,93072306;18,480845;21,79441855;20,6055187;28,09598569;14,34595268;17,27935015;12,34561121;5,659343931;5,359478374;6,34572653;17,61644924;25,03912028;15,39003047;30,41792013;17,41710234;16,29369243;4,566178486;4,280118355;4,632876543;4,000143507;3,585141775;3,67315507;11,17353083;9,617244386;4,117158173;8,389584938;7,694007164;7,712198848;3,646546774;4,172940248;3,685684029;11,64554193;6,661404027;10,54998726;9,93141064;8,882818184;12,34036716;10,37622483;13,51247128;9,184451426;10,91855582;18,33971356;20,48947586
314,911;40,70814988;39,24020664;45,01787828;26,28634441;17,88650478;22,88562475;14,89541982;12,16076456;20,20428629;10,69170549;5,917116378;11,93393353;6,776683819;25,66148279;22,29757027;25,67694348;20,23369073;18,69743899;22,12556334;20,97526456;28,53927302;14,42350478;17,40441653;12,5514925;5,705127048;5,38656622;6,344177004;17,93993788;25,2734379;15,62405758;30,63255856;17,57191292;16,30097107;4,626369598;4,302037866;4,695653232;4,050867757;3,632704101;3,737040215;11,24642573;9,608863873;4,214477153;8,416112561;7,818511817;7,843539967;3,666657471;4,200423786;3,69825192;11,86647311;6,89070728;10,81032471;10,10438891;9,042409044;12,53604458;10,31094563;13,63922077;9,257353038;10,96171822;18,65305348;20,7628776
315,507;41,44914945;40,18577679;45,80218883;26,47300175;18,11025985;22,94930749;14,84578309;12,08201114;20,27362448;10,68189473;5,858288227;11,87051814;6,681670625;25,54166709;22,046086;26,33464907;20,68541145;19,03291046;22,64406871;21,43051983;29,10214315;14,62296694;17,52707744;12,51946182;5,739971134;5,451942642;6,285930083;18,14891585;25,43141244;15,69116215;30,91912728;17,92304575;16,65393527;4,640109181;4,317446635;4,663125854;4,023873391;3,541004925;3,696257531;11,34874184;9,633774307;4,195135936;8,457849826;7,824260592;7,9371154;3,631955507;4,128738881;3,647758121;12,12807863;7,050890945;11,03107954;10,14646512;9,142586801;12,63895247;10,40725113;13,69161413;9,247893711;10,94537739;18,83664709;20,85404859
316,102;42,06587047;40,67666398;46,37423104;26,5515342;18,26909143;23,07477391;14,95739281;12,14000969;20,35383381;10,70061157;5,891413445;11,94068595;6,784887974;25,49057565;22,06543518;26,58696899;20,96524843;19,29192424;22,9894327;21,71743451;29,43374933;14,68349078;17,58620265;12,64433745;5,799194347;5,42030393;6,331171628;18,42063051;25,90351294;15,85123184;31,08355832;18,03505634;16,7885751;4,675835588;4,360680417;4,733249263;4,056678176;3,597503739;3,749581559;11,42808571;9,752419632;4,299340708;8,603930655;7,959994399;8,022352305;3,645082773;4,184470936;3,694868326;12,31989345;7,198611346;11,20588078;10,36823214;9,295380829;13,00152629;10,37392786;13,93658207;9,355223289;11,05206254;18,93282188;21,10842781
316,698;42,65886576;41,30440786;46,83949802;26,54520234;18,19508571;23,08753832;14,96626901;12,20689584;20,49156605;10,77058282;5,893615603;11,94588791;6,790639694;25,37646936;21,8862525;27,07594191;21,37977876;19,56247814;23,29972888;22,02277331;29,92213578;14,82139574;17,85101824;12,76422363;5,883922065;5,479243995;6,442566483;18,79760183;26,09549401;16,03444419;31,34674408;18,26809059;17,03889975;4,674995318;4,301067884;4,711637639;4,059170741;3,577436118;3,746038396;11,54517964;9,836716658;4,401769461;8,70179852;8,038598082;8,110343466;3,626838622;4,167414881;3,70429835;12,49786868;7,419647254;11,58072655;10,55545026;9,454050345;13,20132783;10,50374795;13,96185577;9,417333129;11,13058139;19,11007794;21,16985459
317,293;43,03931484;41,96141917;47,42743278;26,54610166;18,33494481;23,20014857;15,00101531;12,20838263;20,58072543;10,71708794;5,978843457;11,95165743;6,755420931;25,17729965;21,77539871;27,2446566;21,59095087;19,71747732;23,62763499;22,04869985;30,23990593;15,00546924;17,73063637;12,76906875;5,931076369;5,532601096;6,4386509;18,95784067;26,32997166;16,1482753;31,43554083;18,3268926;17,06555434;4,711510587;4,349247368;4,72432281;4,059020861;3,591480114;3,725724534;11,52519154;9,894365144;4,452129612;8,694735471;8,1020555;8,17652065;3,647151543;4,153107929;3,739185651;12,72629917;7,667215555;11,74558482;10,63873047;9,575809757;13,28115302;10,4226064;14,02906585;9,468305712;11,14989899;19,28039112;21,31017551
317,889;43,85795762;42,65773178;48,17424966;26,58565223;18,34073997;23,1765508;14,9462241;12,31735442;20,73222794;10,7486553;5,925837549;11,97126709;6,793120362;25,19966712;21,7361449;27,50790752;21,84821048;19,96292539;23,87751109;22,26621244;30,49188684;15,14474861;17,95599943;12,79257391;5,825694889;5,54255999;6,294729987;19,27641255;26,70347718;16,2868528;31,58268016;18,31264166;17,166778;4,733974949;4,377570396;4,789052876;4,125572773;3,620446443;3,764393241;11,67308831;9,957669841;4,522805796;8,884418346;8,16008471;8,313259517;3,672431153;4,126252858;3,717921528;12,93831974;7,752104446;12,02099318;10,68913106;9,716548319;13,42054409;10,36091585;14,01210018;9,439647915;11,21432939;19,37586546;21,63746103
318,484;44,3680737;43,21408055;48,43168769;26,69666692;18,52546707;23,17961175;15,01571695;12,3011904;20,63661474;10,72000984;5,909542057;11,92770661;6,857128223;25,00373779;21,57034005;28,02760848;22,13321138;20,26499029;24,33973402;22,59978683;31,01180764;15,14716312;17,92517174;13,02658642;5,898515115;5,606360699;6,483006295;19,65527316;26,81720708;16,52402925;31,78560287;18,50988918;17,40096217;4,77397407;4,46927324;4,824095557;4,176263743;3,667616766;3,819116758;11,74126371;10,0059165;4,587353083;8,907925356;8,205020315;8,426656227;3,70792858;4,154829234;3,687444803;13,23543897;8,082874268;12,33085393;10,87294824;9,91907174;13,59337684;10,47592556;14,26477491;9,491579932;11,38005882;19,47871566;21,86122459
319,079;45,17598662;44,05100461;49,4087108;26,85614014;18,3343827;23,36561213;15,05341592;12,25747141;20,77754307;10,66831587;5,902130749;11,92248349;6,842193934;24,92947363;21,4824329;28,22844776;22,40052456;20,36193995;24,45838137;22,73303851;31,32530473;15,2060149;17,90400584;12,99125469;6,030207255;5,637039361;6,379813057;19,88091794;27,10260467;16,72977809;31,85277307;18,67689551;17,40495853;4,758978506;4,42625228;4,834179561;4,16336488;3,61760053;3,784679003;11,81883014;10,04891822;4,615009548;8,92279114;8,305420304;8,423955307;3,633833287;4,090507926;3,663946186;13,49187661;8,261068043;12,57883943;11,01670216;10,02469395;13,76663872;10,48138713;14,30710451;9,540793592;11,33918658;19,58874501;21,80003916
319,675;45,96901969;45,00866756;50,12887912;26,87043776;18,50855962;23,45478062;15,05984137;12,30563894;20,86835403;10,735907;5,916259114;11,95868745;6,872404584;24,84584774;21,31737805;28,68750638;22,80234293;20,69375024;24,94843656;23,11457195;31,63574937;15,24805368;18,13073189;13,00177035;5,875836253;5,578515513;6,392549035;20,16456871;27,29328584;16,66587746;32,10322937;18,88085845;17,64495161;4,803999793;4,441966048;4,851778371;4,106789705;3,626354806;3,779936771;11,91984795;10,10299735;4,671765314;8,992600303;8,393654051;8,558062318;3,667901056;4,111436549;3,706841561;13,7562267;8,424083067;12,85048289;11,0855801;10,15736393;13,91610505;10,44092114;14,26391654;9,607950406;11,43703485;19,75904999;21,94596403
